# GroupLab range-statistic table, docs/STATISTICS.md sections 5 and 15.3. Generated by `grouplab stats range-table` with seed 20260914.
# Groups of n shots from a circular bivariate normal with sigma 1, statistics averaged over nGroups groups: ES extreme spread,
# FoM figure of merit, D bounding-box diagonal, RS Rayleigh sigma with the c4 correction. M mean, SD standard deviation, Q025 and Q975 quantiles.
n,nGroups,replications,ES_M,ES_SD,ES_Q025,ES_Q975,FoM_M,FoM_SD,FoM_Q025,FoM_Q975,D_M,D_SD,D_Q025,D_Q975,RS_M,RS_SD,RS_Q025,RS_Q975
9,2,10000000,3.7062828891536808,0.533067710806033,2.7322077833542786,4.8188375759083035,2.9701421150138545,0.4039298113280176,2.217854301725752,3.7991268466243424,4.274868317910038,0.580686557362107,3.1941483899658305,5.467110396167958,1.0000484587865532,0.1259492004170424,0.7612084209741946,1.2543085476244311
10,2,10000000,3.8115335270910204,0.5243678321538736,2.853727679413745,4.906581523585427,3.077522635728764,0.3986004727398786,2.334679929792613,3.8955375703803288,4.422330811409968,0.5726553863138775,3.355847311839406,5.597923234197522,1.0000057398503177,0.11864100038767612,0.774599336216653,1.2391134193306466
11,2,10000000,3.9049399919532783,0.5166645481858669,2.960874900476287,4.984831144196905,3.1729778944077895,0.39365612817929746,2.439089108762296,3.980680002577171,4.553698458036872,0.5653190329421819,3.500381947964497,5.714402115163503,1.0000285865697767,0.11247129662726425,0.7859787583254506,1.2265060335004208
12,2,10000000,3.9882821327309004,0.5099087663209939,3.0576190004637542,5.054452046130741,3.2583005571679444,0.3892276050975961,2.532811105582732,4.056721123572,4.671258206400666,0.5588108516033944,3.6305007528589184,5.8180953903491055,0.9999751022255838,0.10718392320033907,0.7956149373770496,1.2155195197469355
13,2,10000000,4.063916370180084,0.5039138730047277,3.1442779445212827,5.119156966599288,3.335990098197699,0.3852907766402704,2.6175545715843995,4.126690982629653,4.778455096697864,0.5530151908218793,3.747975771124702,5.913903688514092,0.9999992178561684,0.10258911371901841,0.8041683555451712,1.2059811572509418
14,2,10000000,4.133062891228865,0.4983875912697433,3.224964598323799,5.176817190763679,3.4068876081519046,0.3815118667134544,2.69572622262505,4.1895076835151475,4.876367570236175,0.5474656493713264,3.857069740421271,6.000584058471554,1.0000356773841395,0.09852009059617908,0.8118058985261365,1.197804481076208
15,2,10000000,4.19618027088139,0.49342373071784457,3.296824094397931,5.229714370093169,3.4719923810851956,0.37812107089152247,2.7669688679227797,4.247824887406695,4.966326100639534,0.542503725065989,3.9558215993366725,6.080681046501622,1.0000356168463604,0.09488395363581605,0.8185208982623586,1.1901680237640098
16,2,10000000,4.254822090369363,0.48875607043608865,3.364629288135772,5.279215140740519,3.532165142121611,0.37493255417080473,2.833099609946091,4.3016080265536285,5.04965387679347,0.53785635097506,4.047976548932326,6.154551865869281,1.0000342831651372,0.09165485356713374,0.8245588937797088,1.1836345151727212
17,2,10000000,4.308589975598334,0.4842686082847064,3.427131754474076,5.323572828541365,3.5878581458961785,0.37199744224660497,2.8946565748667714,4.351598796276315,5.126699542900377,0.5335367338080097,4.133450692457788,6.2230309036890725,0.9999848335019397,0.08871345779043043,0.8300115346937365,1.1774960172903683
18,2,10000000,4.359457416403281,0.48062536112518023,3.4851761682664915,5.368501358933026,3.6402405768813573,0.36937301887391727,2.9518322297622426,4.398577552291815,5.199320552179327,0.5297549744845161,4.213071120537932,6.288261993310655,1.0000136863924547,0.08606931660217297,0.8349309247825296,1.172205898218723
19,2,10000000,4.406520333354128,0.47686678323632053,3.5389854259373923,5.407920944941254,3.688886170901681,0.3668503461960212,3.0055675065824445,4.442445926844141,5.266738915736331,0.5260302966344721,4.287897670675856,6.3483439657581515,1.0000076853691335,0.08362476597131159,0.8395342236245537,1.1671491075742255
20,2,10000000,4.451316837043109,0.4734464101548312,3.590923577395929,5.445318315685567,3.735071456504795,0.3643683491687879,3.0557727175954548,4.483410919938956,5.3308289025652655,0.5224469396373502,4.358133847552135,6.404583881482989,1.0000231018455228,0.08137743521901232,0.8438123059585955,1.1626165920069027
21,2,10000000,4.493198920175486,0.4701763269210361,3.6391173808248993,5.481013858485014,3.778327139803204,0.36215585928222443,3.1038679528712643,4.522779020240786,5.390842205340169,0.5192217097481457,4.4250891709601925,6.459008505886776,1.0000038886052174,0.0793214267765258,0.8476719693033966,1.1584352154516069
22,2,10000000,4.532951668691573,0.4672546108780136,3.685004396121798,5.51548457179115,3.8193802517483277,0.35991113234086813,3.1492879848411626,4.558647496805153,5.447873040920882,0.5159967113246345,4.488585180773615,6.509215704290562,0.9999987167126665,0.07738667920048131,0.8513157278793769,1.1546002918927694
23,2,10000000,4.570623052760455,0.46422924730068965,3.7283360224457245,5.5466918141865476,3.858260803766922,0.35789590724218673,3.1920247515254174,4.593773591023868,5.501896021451869,0.5130461066151714,4.547887423267736,6.557397541137089,1.0000206650792902,0.07560935747552928,0.8546444336382428,1.1508828314499995
24,2,10000000,4.606345236730628,0.4615688721360499,3.7688849236810986,5.577113440033384,3.8951827580786524,0.35603248613227434,3.2325320145480667,4.6269138377732455,5.553206600832623,0.5103185542658825,4.604778325091287,6.603034391687716,0.9999652353117066,0.07391615149746633,0.8577910907037486,1.147432554817862
25,2,10000000,4.640489958289928,0.45877537260999685,3.8079699504635567,5.605723558059738,3.930548939120312,0.35419869289280603,3.2712763849813156,4.658294020195042,5.602386556624569,0.5076718582860752,4.65849848320626,6.646933843068446,0.9999874643735882,0.07235222660118668,0.8606799350068466,1.144238445605972
26,2,10000000,4.6728506164656185,0.4567398347172247,3.8449924366411423,5.634997946369239,3.9641500645375856,0.3525688542601645,3.308085352606339,4.689120702190609,5.649092495802205,0.5053062439657017,4.710160510335476,6.689292863455983,0.9999677411839022,0.07090966330944475,0.8634971410929466,1.1412791881659583
27,2,10000000,4.704342357461958,0.45432828943497433,3.881584005465373,5.661576169871925,3.9965874101771175,0.35081973109463294,3.3437292972643875,4.717784927417621,5.694271077486017,0.502772696161786,4.759787995447387,6.728997989848739,0.9999946608943323,0.06949111472382731,0.8661070873853246,1.1383954337698312
28,2,10000000,4.734200243405098,0.45216180601151845,3.9151255070872075,5.686711841804897,4.027566379495303,0.3493089700846962,3.3776810979518426,4.74605094241298,5.7373771509937255,0.5006193762959189,4.807370710027196,6.768287078739491,1.0000276637459597,0.06821148689818733,0.8686093503719217,1.135898780740734
29,2,10000000,4.762689743177186,0.4500634711291718,3.9483022217095893,5.7113503890769435,4.05696957906823,0.34782165956248146,3.4100510295609623,4.7728231491321775,5.778297530916848,0.4984140964186122,4.852670010485096,6.805310140106942,1.0000097596006383,0.06697197749878736,0.8709057060522253,1.1333804329103279
30,2,10000000,4.790156077798642,0.44809164234962096,3.979035906973537,5.734994554792281,4.0854712681806955,0.34638060104680923,3.4414865017703327,4.79825892265197,5.817996491129242,0.49633911103397005,4.8962870718769125,6.840546429613432,1.0000013114751882,0.06580537120709952,0.8731180292262428,1.1310287751296275
